"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KIF14",507.337154833664,4.95955297245925,1.01428444707387,3.9037894979877,9.46981537030833e-05,0.00541880395411583
"NAALAD2",439.984872743271,-4.56013909133697,0.705671487333931,-5.04503746465283,4.5343251269705e-07,6.37054248123393e-05
"TROAP",465.13548339712,5.00496555641944,0.97017373523305,4.12809109438259,3.65787211788584e-05,0.00245006542903819
"KIF20A",1026.1792801109,4.76171433669362,0.913575801045114,4.11757221720441,3.82884567425259e-05,0.0025448570037215
"FAM13A",7126.78542640036,-4.08016692807897,0.697535545996608,-4.41578489548968,1.00644128796293e-05,0.000852564308690555
"ODZ1",179.249553982443,-4.12792748613231,0.69048090813684,-4.53007092487547,5.89638888799124e-06,0.000542924710435945
"ANGPTL7",108.86580174742,-4.85451798800103,1.03071898549161,-3.73964003987234,0.000184283959768991,0.00872496194182995
"GLYAT",941.518621325034,-8.61358627148005,1.33091634505091,-5.72055959774752,1.06173776829735e-08,2.63336610308812e-06
"NMUR1",285.209489760405,-5.04628916647985,0.796102896495153,-5.08262083242463,3.72262345599935e-07,5.49834666180553e-05
"TRDN",121.564169413205,-6.28522502892332,1.12263654537188,-4.7078683218642,2.50320709335612e-06,0.000265386023191946
"ABCA10",599.033729609813,-4.72743567615758,0.621770548010702,-5.99487333081821,2.03644113870758e-09,6.28423916392958e-07
"ABCA9",2827.57505228602,-4.94633268990115,0.798831420920344,-4.94013203105423,7.80696898076878e-07,9.84760809902666e-05
"ABCA8",5454.48669209982,-5.23732281697032,0.852811546078063,-4.96865085429139,6.74203389311137e-07,8.69470803782519e-05
"NDC80",575.402889054287,4.3969863381865,0.898788024913006,3.77951891216541,0.00015713165898815,0.0078270593173222
"SORBS1",29972.6404104702,-4.72754996152878,0.681839912233044,-5.46689903986546,4.57976724886466e-08,9.42178069376551e-06
"POSTN",49795.8448316784,3.08582421021958,0.508680281728393,4.10046208815558,4.12325984141507e-05,0.0027092795938971
"CHL1",2994.13452232077,-4.59250811519897,0.787917258303488,-4.55949920799325,5.12757502770718e-06,0.000486866066229713
"ALDH1L1",3170.19778416206,-6.67579532642882,1.0024022345572,-5.66219340975038,1.49450238473885e-08,3.63753460713691e-06
"PROKR1",17.477229916386,-6.4730221975254,1.3459890961092,-4.06617127385807,4.77918179688632e-05,0.00309322249558024
"LYVE1",4890.22977400022,-6.33733509316139,0.796208904766332,-6.70343556974883,2.03575479250458e-11,1.40719514277087e-08
"UTS2",18.4941070352502,6.95188724677722,1.35755007793957,4.38428559174092,1.16367029385459e-05,0.000953051485692
"LILRB5",832.311764901916,-4.6284499222704,0.910447234165193,-3.98534894292627,6.73810320908138e-05,0.00414381357851015
"UBE2C",2664.10452900735,6.49501894107101,1.09218806676775,5.03120214207531,4.87413902512737e-07,6.79274165267953e-05
"ADAMTS5",3809.19365464278,-3.1040790614994,0.396850983244459,-5.30193737784768,1.14580148506935e-07,2.0000601478266e-05
"FAM107A",2431.42768510289,-4.3631818007984,0.546092780773402,-6.15862710368612,7.33782786344317e-10,2.75663050669916e-07
"MMRN1",1697.20461527082,-4.29225750763729,0.756325884194133,-4.3529615691326,1.34310701839553e-05,0.00107954569232061
"TPX2",3934.23278403184,4.90131001422347,0.805591471227919,4.84278961925567,1.28028824809657e-06,0.000151538775447649
"MAST1",112.96401173616,5.45034135076503,0.939473208381634,4.73706041967,2.1684053289219e-06,0.000235674292384273
"SIK2",8542.07175752407,-3.4935012890507,0.637822072568209,-3.90939949602331,9.25258402323569e-05,0.00534762222426542
"NCAPH",794.231895959002,4.48729194536266,0.842340178117357,4.14000428325383,3.47299336723063e-05,0.00235359993643578
"ABCA5",1530.97386500956,-1.88520955597239,0.211755889134778,-4.18033028308827,2.91085995664534e-05,0.0020448199557231
"MAPK8IP2",1638.01868621219,4.45281150895101,0.639062214733847,5.40293484631855,6.55592776971078e-08,1.23144551943883e-05
"BHMT2",1123.19938010038,-3.94558984382592,0.745063576147066,-3.95347449281899,7.70244783716865e-05,0.00458053538898866
"KIF4A",1003.2197079822,5.09100470216321,1.04958133166872,3.89774911074206,9.70909270244236e-05,0.00551917207206929
"PAMR1",1639.92918829283,-3.50533645889491,0.554773195497355,-4.51596522548078,6.30290078088356e-06,0.000565802458914773
"CCDC69",6527.49295539499,-4.15801116970555,0.69916886637921,-4.51680748609412,6.27789314719743e-06,0.000565802458914773
"PCOLCE2",5675.24529667539,-5.16792797508805,0.992524269107905,-4.19932096857868,2.67716606706708e-05,0.0019357366864011
"PCSK1N",210.929786907261,5.27084403521145,1.14137383871654,3.74184503826892,0.000182674150076709,0.00869639665971241
"CDH20",63.8284445148718,-7.4722877147418,1.28759744596656,-5.02663913711266,4.99150362888289e-07,6.84588684212105e-05
"UBE2T",989.38862221512,4.29639590987588,0.865877836315024,3.8069988301174,0.00014066341046045,0.00727785747355401
"TRHDE",313.602676329245,-6.44656349097794,1.14368132120883,-4.76230868684741,1.91390614690124e-06,0.000217593500819739
"DMGDH",436.404170002009,-4.29396363816742,0.790422634268067,-4.16734477905941,3.0816821608792e-05,0.00213873692458448
